#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy   ts
0.000000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.004594 -0.004207 0.047816 0.000720 -0.000228 -0.006641 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.006795 -0.005664 0.047965 0.000040 0.001121 -0.006595 1336386844.327849865 
10.419878960 -0.047872 -0.043834 0.498241 0.007499 -0.002371 -0.069198 -0.041762 0.019167 -0.008596 0.005945 0.004733 -0.071579 -0.070798 -0.059016 0.499785 0.000419 0.011684 -0.068716 -0.043749 0.007212 -0.008556 0.000321 0.000743 -0.071966 1336386854.747728825 
21.137468100 -0.479922 0.192709 0.406593 0.070768 0.054223 -0.835973 -0.031896 -0.007311 -0.014643 0.008493 0.003272 -0.048224 -0.534304 0.050399 0.413607 -0.004400 0.016633 -0.840121 -0.039440 -0.017873 -0.014029 0.001683 0.002894 -0.048694 1336386865.465317965 
35.129876137 -0.851361 0.473154 0.219484 0.140301 0.132308 -1.510748 -0.046621 -0.186709 -0.012774 -0.002476 -0.000737 -0.054344 -1.091595 0.296267 0.227616 0.009644 0.050634 -1.522059 -0.050651 -0.195327 -0.012148 -0.005968 0.000995 -0.053998 1336386879.457726002 
37.809273958 -1.349295 0.580990 0.133024 0.112988 0.149254 -1.656830 -0.027832 -0.187140 -0.018931 -0.001532 -0.000608 -0.034467 -1.620690 0.408067 0.196936 -0.013754 0.054161 -1.666921 -0.033529 -0.193273 -0.018010 -0.003645 0.002285 -0.033829 1336386882.137123823 
40.488672018 -1.832277 0.712624 0.038367 0.094579 0.157398 -1.749929 0.016913 -0.163416 -0.013244 -0.007608 -0.001036 0.023979 -2.127942 0.549336 0.160731 -0.028376 0.058815 -1.757795 0.012117 -0.166479 -0.012161 -0.007855 0.001507 0.024407 1336386884.816521883 
43.565009117 -2.327654 0.764125 -0.056738 0.082499 0.146842 -1.675997 0.006663 -0.211999 0.000346 -0.003456 -0.003397 0.017200 -2.638669 0.609465 0.135713 -0.048051 0.065413 -1.682711 0.002010 -0.220296 0.001327 -0.006487 -0.000720 0.016896 1336386887.892858982 
45.946702957 -2.829160 0.807295 -0.099408 0.080133 0.135286 -1.635469 0.004960 -0.165463 -0.007032 0.001972 0.002547 -0.004342 -3.160053 0.661389 0.163699 -0.060825 0.065580 -1.642349 0.003967 -0.171810 -0.006344 -0.000360 0.003140 -0.003970 1336386890.274552822 
49.023049116 -3.334192 0.833271 -0.163205 0.084467 0.144155 -1.648290 -0.034256 -0.035922 0.059275 0.008162 0.006779 -0.131046 -3.688386 0.686215 0.175522 -0.062771 0.074475 -1.655162 -0.038203 -0.032552 0.055869 0.008006 0.011089 -0.129178 1336386893.350898981 
55.572685957 -3.587472 1.022766 0.232214 -0.001823 0.202079 -2.519513 -0.044945 -0.006977 0.002451 0.006302 0.003656 -0.050281 -3.858891 0.922775 0.571669 -0.045169 0.074778 -2.506087 -0.048349 -0.017702 0.007144 -0.000161 0.000160 -0.052556 1336386899.900535822 
