#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy od_failure ts
0.000000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.011297 -0.004647 0.000256 -0.002842 0.002232 -0.012223 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 -0.008588 0.002257 -0.001888 0.000743 0.001109 -0.011863 0.000000000 1336386845.121745825 
3.374056101 -0.038118 -0.015678 0.000865 -0.009590 0.007531 -0.041240 -0.008423 -0.005185 0.029696 0.007047 -0.002453 -0.006259 -0.028976 0.007614 -0.006370 0.002507 0.003742 -0.040026 -0.007042 -0.004095 0.031505 0.007542 -0.003308 -0.006063 0.000000000 1336386848.495801926 
6.648874998 -0.065606 -0.030605 0.098479 0.013337 -0.000700 -0.061659 0.015370 0.016203 0.138291 -0.010280 -0.006535 0.002806 -0.052180 -0.005137 0.096856 0.027130 -0.007043 -0.059907 0.001466 0.001004 0.140553 -0.019089 0.001760 0.000977 0.000000000 1336386851.770620823 
7.938954115 -0.044798 -0.013332 0.277162 0.000073 -0.009178 -0.058151 0.003364 -0.019528 0.133893 -0.001768 0.006764 -0.001819 -0.051783 -0.008791 0.278158 0.002494 -0.004807 -0.058586 0.004421 -0.011912 0.133631 0.003391 0.005989 -0.000602 0.000000000 1336386853.060699940 
9.625983000 -0.043117 -0.046446 0.503083 -0.002881 0.002233 -0.061219 0.005156 0.010671 0.025337 -0.012112 -0.000051 0.003409 -0.046629 -0.029787 0.503580 0.008219 0.005299 -0.059576 0.004236 0.009005 0.025116 -0.013205 0.000846 0.003419 0.000000000 1336386854.747728825 
11.908432007 -0.029741 -0.022697 0.560816 -0.030509 0.002140 -0.053438 -0.002599 -0.006381 -0.012931 0.003756 -0.001913 0.002952 -0.035477 -0.010335 0.561022 -0.021880 0.007166 -0.051756 0.001093 -0.004071 -0.012124 0.005281 -0.004511 0.003293 0.000000000 1336386857.030177832 
14.190882206 -0.036554 -0.037812 0.531772 -0.021921 -0.002018 -0.046570 -0.042497 0.003487 -0.013896 0.018170 0.003294 -0.064654 -0.033695 -0.020337 0.533543 -0.009771 -0.002964 -0.044018 -0.043562 0.000166 -0.014074 0.015809 0.003655 -0.064317 0.000000000 1336386859.312628031 
16.771042109 -0.145629 -0.024512 0.495507 0.025600 0.002867 -0.213530 -0.097240 0.035573 -0.024108 0.018791 0.007763 -0.165841 -0.145871 -0.015322 0.496895 0.031642 0.004894 -0.210047 -0.099687 0.022041 -0.020501 0.009210 0.006685 -0.167107 0.000000000 1336386861.892787933 
18.358835220 -0.284449 0.064368 0.459129 0.053813 0.021753 -0.476479 -0.115688 0.000212 -0.025309 0.007805 0.004892 -0.174120 -0.293315 0.052929 0.466242 0.043883 0.023629 -0.474955 -0.108788 0.018128 -0.032555 0.020781 0.004706 -0.172464 0.000000000 1336386863.480581045 
20.045862198 -0.457444 0.156646 0.420769 0.058401 0.044641 -0.769613 -0.078814 0.024391 -0.037532 0.026856 0.005461 -0.146105 -0.442534 0.166725 0.417067 0.070334 0.043156 -0.765525 -0.076493 0.021927 -0.039332 0.025899 0.003657 -0.146278 0.000000000 1336386865.167608023 
22.626022100 -0.558673 0.350077 0.336936 0.107203 0.077080 -1.146162 -0.044596 0.013672 -0.017949 0.013883 -0.001217 -0.081523 -0.543683 0.352096 0.328416 0.116354 0.075452 -1.142361 -0.046050 0.011118 -0.018847 0.012159 -0.000818 -0.081712 0.000000000 1336386867.747767925 
25.900840998 -0.574070 0.507450 0.294691 0.128551 0.098627 -1.413336 -0.001991 -0.031040 -0.005454 0.000473 0.004272 -0.025954 -0.568532 0.510796 0.282869 0.132129 0.100822 -1.409812 -0.004143 -0.032320 -0.006444 -0.000199 0.005516 -0.026064 0.000000000 1336386871.022586823 
30.366503000 -0.708792 0.499201 0.253846 0.118714 0.131746 -1.526782 0.007978 -0.042892 -0.001992 0.002496 -0.002970 0.004542 -0.709730 0.511363 0.237430 0.119071 0.139907 -1.522994 0.006879 -0.045239 -0.003109 0.001379 -0.002080 0.004517 0.000000000 1336386875.488248825 
34.534455061 -0.883869 0.462364 0.220316 0.131402 0.117192 -1.509334 -0.053323 -0.186968 -0.009871 -0.006455 -0.011137 -0.054393 -0.894076 0.479044 0.198512 0.127287 0.129040 -1.505184 -0.046669 -0.185222 -0.010838 -0.004317 -0.014615 -0.053219 0.000000000 1336386879.656200886 
35.824535131 -1.125391 0.521130 0.184434 0.114352 0.111833 -1.581229 -0.025394 -0.191883 -0.019627 0.002277 0.013125 -0.055601 -1.133100 0.528874 0.162424 0.112295 0.118723 -1.576171 -0.024242 -0.183023 -0.021291 0.008441 0.013029 -0.053959 0.000000000 1336386880.946280956 
37.114615202 -1.368014 0.562180 0.135023 0.109226 0.136562 -1.651195 -0.021405 -0.173749 -0.024189 -0.001561 -0.004987 -0.021716 -1.364445 0.567538 0.112753 0.114899 0.142951 -1.644140 -0.014063 -0.166953 -0.023677 0.003228 -0.008939 -0.020569 0.000000000 1336386882.236361027 
38.603169203 -1.617131 0.622659 0.075971 0.102322 0.132632 -1.684428 -0.034388 -0.208629 -0.011989 -0.001269 0.006653 -0.052128 -1.604449 0.615020 0.052880 0.115064 0.133168 -1.676365 -0.034726 -0.203966 -0.012928 0.002277 0.006929 -0.051076 0.000000000 1336386883.724915028 
39.794012070 -1.856037 0.696046 0.042155 0.092481 0.146601 -1.746028 -0.002579 -0.184782 -0.019585 0.003003 -0.003098 0.000226 -1.837710 0.686719 0.015573 0.109595 0.148106 -1.736494 0.003406 -0.178060 -0.018126 0.007571 -0.006515 0.001327 0.000000000 1336386884.915757895 
41.183329105 -2.103361 0.750969 -0.007578 0.096641 0.142287 -1.746113 0.038942 -0.141519 -0.005294 -0.017049 0.000473 0.049749 -2.077028 0.729789 -0.036645 0.120243 0.138907 -1.735643 0.039131 -0.142477 -0.004532 -0.016991 0.000486 0.051125 0.000000000 1336386886.305074930 
42.870357037 -2.347055 0.732689 -0.048498 0.079491 0.134492 -1.661737 -0.008592 -0.226637 0.001448 0.000975 0.009170 -0.007232 -2.321416 0.709278 -0.081857 0.103090 0.128876 -1.649201 -0.003948 -0.227235 0.003480 0.001399 0.006449 -0.007067 0.000000000 1336386887.992102861 
44.061200142 -2.613956 0.769863 -0.066660 0.079609 0.146057 -1.669538 0.017688 -0.192940 -0.000378 -0.011989 -0.013592 0.037417 -2.589575 0.738081 -0.104781 0.103773 0.137378 -1.656853 0.018522 -0.201974 0.002467 -0.016480 -0.013681 0.037817 0.000000000 1336386889.182945967 
45.351281166 -2.862763 0.774791 -0.090046 0.070919 0.124581 -1.622458 0.012115 -0.155701 -0.000389 -0.005014 0.017973 -0.011727 -2.849860 0.740053 -0.131653 0.088850 0.114621 -1.609858 0.014508 -0.158699 0.001085 -0.006547 0.016899 -0.011139 0.000000000 1336386890.473026991 
47.038309097 -3.125302 0.770458 -0.111703 0.060269 0.156208 -1.640252 -0.021128 -0.164141 -0.022634 0.014595 -0.013979 -0.025758 -3.117344 0.728684 -0.156242 0.075959 0.144669 -1.626209 -0.019448 -0.158211 -0.024682 0.018032 -0.014115 -0.024014 0.000000000 1336386892.160054922 
48.427626133 -3.347994 0.822054 -0.151711 0.074724 0.138870 -1.677495 -0.206893 0.019542 0.003349 0.002214 0.023682 -0.334237 -3.331693 0.774697 -0.202688 0.095930 0.127558 -1.661242 -0.205186 0.021275 -0.000992 0.003797 0.023101 -0.333880 0.000000000 1336386893.549371958 
49.618470192 -3.299315 1.061445 -0.111947 0.017392 0.185102 -2.079143 -0.031252 -0.042210 -0.005256 0.037674 0.000769 -0.125627 -3.284589 1.013619 -0.170364 0.043513 0.182181 -2.060879 -0.004613 -0.045046 0.000579 0.039637 -0.012948 -0.122782 0.000000000 1336386894.740216017 
52.099393129 -3.352156 1.181258 -0.112282 0.052602 0.183322 -2.396224 0.073792 0.019029 0.116821 -0.021706 -0.001356 -0.050567 -3.377562 1.076680 -0.171660 0.084645 0.154627 -2.370308 0.072983 0.022849 0.116811 -0.019542 -0.000223 -0.050465 0.000000000 1336386897.221138954 
53.885658026 -3.459967 1.050488 0.070340 -0.003114 0.184889 -2.488122 0.119613 -0.039044 0.216367 0.005166 0.006790 -0.019073 -3.477210 0.947689 0.017099 0.035393 0.161212 -2.461345 0.103019 -0.014153 0.198509 0.021981 0.022368 -0.015461 0.000000000 1336386899.007403851 
54.878027201 -3.607114 0.985776 0.259692 -0.001535 0.191535 -2.507423 -0.038182 -0.000280 0.003960 0.022090 -0.008644 -0.048669 -3.593376 0.880726 0.194516 0.054836 0.183921 -2.476139 -0.029746 -0.003588 0.010158 0.019651 -0.015620 -0.048503 0.000000000 1336386899.999773026 
57.358950138 -3.534110 1.040316 0.287371 0.030025 0.168501 -2.629848 -0.072213 0.050435 0.013686 0.004175 0.023638 -0.248346 -3.546193 0.930814 0.232273 0.080658 0.150427 -2.599742 -0.094710 0.045268 0.002523 -0.003067 0.038906 -0.253309 0.000000000 1336386902.480695963 
58.748268127 -3.416943 1.026447 0.325007 -0.023670 0.201456 -2.980872 -0.017515 -0.014851 0.002275 0.022524 -0.065330 -0.054352 -3.403648 0.943779 0.260456 0.019448 0.222975 -2.954464 -0.019457 0.009034 -0.004844 0.037655 -0.061283 -0.050142 0.000000000 1336386903.870013952 
60.435296059 -3.393234 1.055573 0.335259 -0.003589 0.088315 -3.069715 0.228768 0.006937 0.033669 0.003234 0.005578 -0.004219 -3.367621 0.934931 0.260034 0.063740 0.120421 -3.041231 0.096582 -0.015891 -0.024096 -0.009683 0.108659 -0.014004 0.000000000 1336386905.557041883 
61.526902199 -3.644021 1.029792 0.349816 -0.000469 0.094386 -3.074363 -0.088469 -0.098491 -0.035126 -0.008960 0.006121 0.006797 -3.470057 0.940331 0.220213 0.052672 0.239762 -3.049066 -0.010913 -0.105932 0.002486 -0.015856 -0.054685 0.008078 0.000000000 1336386906.648648024 
63.015456200 -3.518153 1.185233 0.310242 -0.012849 0.103498 -3.064196 -0.076032 -0.060090 -0.000538 -0.013494 0.019183 -0.007535 -3.467823 1.098877 0.219596 0.031098 0.157832 -3.041282 -0.058593 -0.036481 0.004983 0.000278 0.006029 0.000350 0.000000000 1336386908.137202024 
65.099432230 -3.370756 1.322271 0.327096 -0.042670 0.143256 -3.080565 -0.151161 -0.054268 0.030473 0.020899 0.028098 -0.007608 -3.356736 1.186755 0.246704 0.031858 0.170367 -3.040146 -0.121494 -0.080411 0.045597 0.004127 0.002096 -0.014636 0.000000000 1336386910.221178055 
