#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy od_failure ts
0.000000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.173741 0.013943 -0.002084 0.010644 -0.003992 0.223775 -0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 3.538935 -0.069912 -0.392859 0.002318 0.002492 0.077529 0.000000000 1319017539.616945982 
2.183207035 0.379313 0.030440 -0.004550 0.023237 -0.008716 0.488547 0.161670 0.033680 0.037349 -0.002979 -0.012026 0.220278 7.726228 -0.152632 -0.857693 0.005061 0.005440 0.169261 5.677052 0.712044 0.018995 -0.004613 0.017687 0.140776 0.000000000 1319017541.800153017 
4.366414070 0.656718 0.258990 0.081751 0.010081 -0.044728 0.968973 0.052459 -0.044185 0.024513 0.002819 -0.004654 0.033703 19.681544 3.467328 -0.875780 -0.003595 0.042268 0.476851 1.198502 -1.568614 0.055494 0.003624 0.003583 0.011810 0.000000000 1319017543.983360052 
10.519042015 1.060852 0.364559 0.244104 0.017993 -0.074481 1.176527 0.006596 -0.132754 0.009679 0.006784 -0.011327 -0.008637 30.670255 -1.717201 -0.811575 0.021780 0.064462 0.549570 -5.221312 4.452562 -0.001179 0.032694 -0.029829 -0.164077 0.000000000 1319017550.135987997 
15.877686024 1.730834 0.120840 0.285687 0.057912 -0.134253 1.128816 0.003651 -0.105376 0.019937 0.005596 0.002497 -0.007847 -5.570716 4.057973 1.503007 0.139245 -0.101887 -0.325670 -1.462223 -2.396389 -0.060029 0.048661 0.015861 -0.015348 0.000000000 1319017555.494632006 
18.259387970 1.961597 0.016307 0.319433 0.073703 -0.127212 1.110353 -0.078719 -0.023610 -0.011582 -0.005717 -0.000338 -0.127771 -10.565200 -0.200302 0.219875 0.258328 -0.059356 -0.356655 -4.153577 -1.488733 0.181437 0.015450 0.014399 -0.105994 0.000000000 1319017557.876333952 
26.098982096 1.854849 -0.599292 0.137796 0.101943 -0.009460 0.112486 -0.136062 0.054129 -0.068106 -0.022610 -0.006194 -0.213638 -45.001890 0.201075 -3.315279 0.346198 0.259013 -1.138001 -1.797863 -0.266095 0.095171 -0.006903 -0.015299 -0.084280 0.000000000 1319017565.715928078 
28.282187939 1.546070 -0.500637 -0.000900 0.045956 0.023860 -0.352954 -0.059595 -0.029488 -0.011474 0.000626 0.001390 -0.038672 -47.153474 3.387041 -2.311573 0.276233 0.285125 -1.330242 0.012663 -0.039039 0.000830 0.021896 -0.018658 -0.012934 0.000000000 1319017567.899133921 
32.549355030 1.263617 -0.528144 -0.049506 0.044096 0.037008 -0.517634 -0.021267 -0.131699 -0.013683 -0.009433 -0.007899 0.001122 -47.300531 3.309745 -2.367100 0.348217 0.222761 -1.406801 0.111813 -0.804346 0.200879 0.028906 -0.005612 0.004343 0.000000000 1319017572.166301012 
35.526417971 1.013840 -0.834594 -0.105104 0.016110 0.013367 -0.515334 -0.010264 -0.128853 0.000993 -0.002190 -0.002853 0.004972 -49.678720 2.644226 -2.689292 0.435771 0.202639 -1.400215 0.152320 -1.039183 0.345582 0.019584 -0.003151 0.004871 0.000000000 1319017575.143363953 
