%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336386844327849865,0,1336386844327849865,,266,239,0.0
1336386846014878035,1,1336386846014878035,,262,233,0.090722847
1336386846114115000,2,1336386846114115000,,266,235,0.08410497
1336386846213351965,3,1336386846213351965,,276,247,0.092669398
1336386846312588930,4,1336386846312588930,,276,240,0.09223093
1336386846411825895,5,1336386846411825895,,287,257,0.094256467
1336386846511062860,6,1336386846511062860,,282,242,0.090743666
1336386846610299826,7,1336386846610299826,,278,241,0.090944736
1336386846709537029,8,1336386846709537029,,283,246,0.090508856
1336386846808773994,9,1336386846808773994,,280,247,0.095216508
1336386846908010960,10,1336386846908010960,,281,242,0.09183032
1336386847007247925,11,1336386847007247925,,280,243,0.093370743
1336386847106483936,12,1336386847106483936,,277,242,0.080516455
1336386847205720901,13,1336386847205720901,,277,223,0.100612376
1336386847304958820,14,1336386847304958820,,277,231,0.091020793
1336386847404196024,15,1336386847404196024,,279,240,0.090566407
1336386847503432035,16,1336386847503432035,,269,236,0.102106277
1336386847602669954,17,1336386847602669954,,277,231,0.100490154
1336386847701905966,18,1336386847701905966,,284,250,0.094110365
1336386847801142931,19,1336386847801142931,,282,251,0.09149955
1336386847900379896,20,1336386847900379896,,275,243,0.096387746
1336386847999616861,21,1336386847999616861,,283,247,0.080467009
1336386848098853827,22,1336386848098853827,,283,245,0.070776735
1336386848198091030,23,1336386848198091030,,277,245,0.088300894
1336386848297327995,24,1336386848297327995,,285,250,0.097514217
1336386848396564960,25,1336386848396564960,,274,241,0.092713743
1336386848495801926,26,1336386848495801926,,270,234,0.093280996
1336386848595038891,27,1336386848595038891,,266,240,0.081858597
1336386848694274902,28,1336386848694274902,,280,240,0.097687074
1336386848793512821,29,1336386848793512821,,272,247,0.080588808
1336386848892748833,30,1336386848892748833,,270,239,0.100612937
1336386848991986990,31,1336386848991986990,,272,234,0.101190519
1336386849091223001,32,1336386849091223001,,278,246,0.070465387
1336386849190460920,33,1336386849190460920,,280,240,0.096751412
1336386849289696932,34,1336386849289696932,,284,241,0.093672385
1336386849388933897,35,1336386849388933897,,286,247,0.090569481
1336386849488170862,36,1336386849488170862,,273,251,0.090630377
1336386849587407827,37,1336386849587407827,,291,248,0.096188909
1336386849686645031,38,1336386849686645031,,277,242,0.090551041
1336386849785881996,39,1336386849785881996,,283,236,0.090552783
1336386849885118961,40,1336386849885118961,,280,246,0.096600625
1336386849984355927,41,1336386849984355927,,289,242,0.090527432
