%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336386844.33,0,1336386844.33,,266,239,0.0
1336386846.01,1,1336386846.01,,262,233,0.090722847
1336386846.11,2,1336386846.11,,266,235,0.08410497
1336386846.21,3,1336386846.21,,276,247,0.092669398
1336386846.31,4,1336386846.31,,276,240,0.09223093
1336386846.41,5,1336386846.41,,287,257,0.094256467
1336386846.51,6,1336386846.51,,282,242,0.090743666
1336386846.61,7,1336386846.61,,278,241,0.090944736
1336386846.71,8,1336386846.71,,283,246,0.090508856
1336386846.81,9,1336386846.81,,280,247,0.095216508
1336386846.91,10,1336386846.91,,281,242,0.09183032
1336386847.01,11,1336386847.01,,280,243,0.093370743
1336386847.11,12,1336386847.11,,277,242,0.080516455
1336386847.21,13,1336386847.21,,277,223,0.100612376
1336386847.3,14,1336386847.3,,277,231,0.091020793
1336386847.4,15,1336386847.4,,279,240,0.090566407
1336386847.5,16,1336386847.5,,269,236,0.102106277
1336386847.6,17,1336386847.6,,277,231,0.100490154
1336386847.7,18,1336386847.7,,284,250,0.094110365
1336386847.8,19,1336386847.8,,282,251,0.09149955
1336386847.9,20,1336386847.9,,275,243,0.096387746
1336386848.0,21,1336386848.0,,283,247,0.080467009
1336386848.1,22,1336386848.1,,283,245,0.070776735
1336386848.2,23,1336386848.2,,277,245,0.088300894
1336386848.3,24,1336386848.3,,285,250,0.097514217
1336386848.4,25,1336386848.4,,274,241,0.092713743
1336386848.5,26,1336386848.5,,270,234,0.093280996
1336386848.6,27,1336386848.6,,266,240,0.081858597
1336386848.69,28,1336386848.69,,280,240,0.097687074
1336386848.79,29,1336386848.79,,272,247,0.080588808
1336386848.89,30,1336386848.89,,270,239,0.100612937
1336386848.99,31,1336386848.99,,272,234,0.101190519
1336386849.09,32,1336386849.09,,278,246,0.070465387
1336386849.19,33,1336386849.19,,280,240,0.096751412
1336386849.29,34,1336386849.29,,284,241,0.093672385
1336386849.39,35,1336386849.39,,286,247,0.090569481
1336386849.49,36,1336386849.49,,273,251,0.090630377
1336386849.59,37,1336386849.59,,291,248,0.096188909
1336386849.69,38,1336386849.69,,277,242,0.090551041
1336386849.79,39,1336386849.79,,283,236,0.090552783
1336386849.89,40,1336386849.89,,280,246,0.096600625
1336386849.98,41,1336386849.98,,289,242,0.090527432
1336386850.08,42,1336386850.08,,280,244,0.070476911
1336386850.18,43,1336386850.18,,271,252,0.094581997
1336386850.28,44,1336386850.28,,272,234,0.090556278
1336386850.38,45,1336386850.38,,269,237,0.097392622
1336386850.48,46,1336386850.48,,272,237,0.100601902
1336386850.58,47,1336386850.58,,282,244,0.090856525
1336386850.68,48,1336386850.68,,275,235,0.096981606
1336386850.78,49,1336386850.78,,277,241,0.090549571
1336386850.88,50,1336386850.88,,275,224,0.097649081
1336386850.98,51,1336386850.98,,266,230,0.080576238
1336386851.08,52,1336386851.08,,279,242,0.070538927
1336386851.18,53,1336386851.18,,273,225,0.104902305
1336386851.27,54,1336386851.27,,274,232,0.094833779
1336386851.37,55,1336386851.37,,282,236,0.089046935
1336386851.47,56,1336386851.47,,281,226,0.09117745
1336386851.57,57,1336386851.57,,276,244,0.085718649
1336386851.67,58,1336386851.67,,271,230,0.090585894
1336386851.77,59,1336386851.77,,285,246,0.090587913
1336386851.87,60,1336386851.87,,274,243,0.095890266
1336386851.97,61,1336386851.97,,280,240,0.090836902
1336386852.07,62,1336386852.07,,290,248,0.090727384
1336386852.17,63,1336386852.17,,292,267,0.098018048
1336386852.27,64,1336386852.27,,292,244,0.090800796
1336386852.37,65,1336386852.37,,295,262,0.085396755
1336386852.47,66,1336386852.47,,299,254,0.101330621
1336386852.56,67,1336386852.56,,303,257,0.102024008
1336386852.66,68,1336386852.66,,305,263,0.097099987
1336386852.76,69,1336386852.76,,302,258,0.094536742
1336386852.86,70,1336386852.86,,295,256,0.091621913
1336386852.96,71,1336386852.96,,301,267,0.080460516
1336386853.06,72,1336386853.06,,306,272,0.090561376
1336386853.16,73,1336386853.16,,307,251,0.082122105
1336386853.26,74,1336386853.26,,304,257,0.084566899
1336386853.36,75,1336386853.36,,307,269,0.090533509
1336386853.46,76,1336386853.46,,317,264,0.101191779
1336386853.56,77,1336386853.56,,310,270,0.087270246
1336386853.66,78,1336386853.66,,321,263,0.091167459
1336386853.76,79,1336386853.76,,323,266,0.096306171
1336386853.85,80,1336386853.85,,317,274,0.090487345
1336386853.95,81,1336386853.95,,321,268,0.070447021
1336386854.05,82,1336386854.05,,306,250,0.093601006
1336386854.15,83,1336386854.15,,311,270,0.090686604
1336386854.25,84,1336386854.25,,311,262,0.091398842
1336386854.35,85,1336386854.35,,308,256,0.086529093
1336386854.45,86,1336386854.45,,312,254,0.091389482
1336386854.55,87,1336386854.55,,320,270,0.086650475
1336386854.65,88,1336386854.65,,300,254,0.080603615
1336386854.75,89,1336386854.75,,304,257,0.080472803
1336386854.85,90,1336386854.85,,310,260,0.080397166
1336386854.95,91,1336386854.95,,305,256,0.070591098
1336386855.05,92,1336386855.05,,308,250,0.090631499
1336386855.14,93,1336386855.14,,318,275,0.09054776
1336386855.24,94,1336386855.24,,325,280,0.08585826
1336386855.34,95,1336386855.34,,311,256,0.090568293
1336386855.44,96,1336386855.44,,316,260,0.080979711
1336386855.54,97,1336386855.54,,320,280,0.097444446
1336386855.64,98,1336386855.64,,326,272,0.098433047
1336386855.74,99,1336386855.74,,325,255,0.090520729
1336386855.84,100,1336386855.84,,322,265,0.090712161
1336386855.94,101,1336386855.94,,324,265,0.080457716
1336386856.04,102,1336386856.04,,319,265,0.089048824
1336386856.14,103,1336386856.14,,316,257,0.087890783
1336386856.24,104,1336386856.24,,326,268,0.100678171
1336386856.34,105,1336386856.34,,326,281,0.088192777
1336386856.43,106,1336386856.43,,333,279,0.091544043
1336386856.53,107,1336386856.53,,331,271,0.085956182
1336386856.63,108,1336386856.63,,349,290,0.102005573
1336386856.73,109,1336386856.73,,336,283,0.087398755
1336386856.83,110,1336386856.83,,336,275,0.091485446
1336386856.93,111,1336386856.93,,327,264,0.070415378
1336386857.03,112,1336386857.03,,325,283,0.090902199
1336386857.13,113,1336386857.13,,324,262,0.09345637
1336386857.23,114,1336386857.23,,328,265,0.092388845
1336386857.33,115,1336386857.33,,328,281,0.083625575
1336386857.43,116,1336386857.43,,314,263,0.09056801
1336386857.53,117,1336386857.53,,311,259,0.090151829
1336386857.63,118,1336386857.63,,302,248,0.087072039
1336386857.72,119,1336386857.72,,311,261,0.090541406
1336386857.82,120,1336386857.82,,291,238,0.07042362
1336386857.92,121,1336386857.92,,296,249,0.090535747
1336386858.02,122,1336386858.02,,307,250,0.081313621
1336386858.12,123,1336386858.12,,311,245,0.091257066
1336386858.22,124,1336386858.22,,303,244,0.093400633
1336386858.32,125,1336386858.32,,302,249,0.080372298
1336386858.42,126,1336386858.42,,306,252,0.080550815
1336386858.52,127,1336386858.52,,301,257,0.080496198
1336386858.62,128,1336386858.62,,298,249,0.097388573
1336386858.72,129,1336386858.72,,305,254,0.080445846
1336386858.82,130,1336386858.82,,296,258,0.070391628
1336386858.92,131,1336386858.92,,301,255,0.081632447
1336386859.01,132,1336386859.01,,306,268,0.095809459
1336386859.11,133,1336386859.11,,303,264,0.081982427
1336386859.21,134,1336386859.21,,306,247,0.090562633
1336386859.31,135,1336386859.31,,311,255,0.091266353
1336386859.41,136,1336386859.41,,324,276,0.093169184
1336386859.51,137,1336386859.51,,310,252,0.081944217
1336386859.61,138,1336386859.61,,324,273,0.091229968
1336386859.71,139,1336386859.71,,315,263,0.084977354
1336386859.81,140,1336386859.81,,337,278,0.08044242
1336386859.91,141,1336386859.91,,338,301,0.103492981
1336386860.01,142,1336386860.01,,324,273,0.093351536
1336386860.11,143,1336386860.11,,329,273,0.090582257
1336386860.21,144,1336386860.21,,337,282,0.097989345
1336386860.3,145,1336386860.3,,311,252,0.090550624
1336386860.4,146,1336386860.4,,318,262,0.091065628
1336386860.5,147,1336386860.5,,317,259,0.087076858
1336386860.6,148,1336386860.6,,312,263,0.091130303
1336386860.7,149,1336386860.7,,324,267,0.098605067
1336386860.8,150,1336386860.8,,318,262,0.070576013
1336386860.9,151,1336386860.9,,312,261,0.126194398
1336386861.0,152,1336386861.0,,311,252,0.090556209
1336386861.1,153,1336386861.1,,310,261,0.088428425
1336386861.2,154,1336386861.2,,307,238,0.086487538
1336386861.3,155,1336386861.3,,314,260,0.090531555
1336386861.4,156,1336386861.4,,312,255,0.090536445
1336386861.5,157,1336386861.5,,313,251,0.102762928
1336386861.6,158,1336386861.6,,317,277,0.083673563
1336386861.69,159,1336386861.69,,311,271,0.090382862
1336386861.79,160,1336386861.79,,320,253,0.080431666
1336386861.89,161,1336386861.89,,320,269,0.090623951
1336386861.99,162,1336386861.99,,322,272,0.091628833
1336386862.09,163,1336386862.09,,329,262,0.086357421
1336386862.19,164,1336386862.19,,337,286,0.091741695
1336386862.29,165,1336386862.29,,338,283,0.096209022
1336386862.39,166,1336386862.39,,335,278,0.090532948
1336386862.49,167,1336386862.49,,354,305,0.093145995
1336386862.59,168,1336386862.59,,359,302,0.107635059
1336386862.69,169,1336386862.69,,349,294,0.111376174
1336386862.79,170,1336386862.79,,351,300,0.085698959
1336386862.89,171,1336386862.89,,353,298,0.107531197
1336386862.98,172,1336386862.98,,357,293,0.100664333
1336386863.08,173,1336386863.08,,362,307,0.097590274
1336386863.18,174,1336386863.18,,364,310,0.103024417
1336386863.28,175,1336386863.28,,366,301,0.105936028
1336386863.38,176,1336386863.38,,361,318,0.100607971
1336386863.48,177,1336386863.48,,369,328,0.100965984
1336386863.58,178,1336386863.58,,361,293,0.096876848
1336386863.68,179,1336386863.68,,369,303,0.110727905
1336386863.78,180,1336386863.78,,371,320,0.100752199
1336386863.88,181,1336386863.88,,372,309,0.10784283
1336386863.98,182,1336386863.98,,377,311,0.109673865
1336386864.08,183,1336386864.08,,391,326,0.100515014
1336386864.18,184,1336386864.18,,388,309,0.114732609
1336386864.37,185,1336386864.37,,382,318,0.122564819
1336386864.47,186,1336386864.47,,380,322,0.109632235
1336386864.57,187,1336386864.57,,389,337,0.11182728
1336386864.67,188,1336386864.67,,391,345,0.112058384
1336386864.77,189,1336386864.77,,387,335,0.111014048
1336386864.87,190,1336386864.87,,389,343,0.116474797
1336386865.07,191,1336386865.07,,396,349,0.110923882
1336386865.17,192,1336386865.17,,415,361,0.117676212
1336386865.27,193,1336386865.27,,412,351,0.111752477
1336386865.37,194,1336386865.37,,404,345,0.10845883
1336386865.47,195,1336386865.47,,407,345,0.115489195
1336386865.66,196,1336386865.66,,401,358,0.121243488
1336386865.76,197,1336386865.76,,419,364,0.124483291
1336386865.86,198,1336386865.86,,435,376,0.124883757
1336386865.96,199,1336386865.96,,419,356,0.126503725
1336386866.16,200,1336386866.16,,410,369,0.131819069
1336386866.26,201,1336386866.26,,426,392,0.12445891
1336386866.36,202,1336386866.36,,432,387,0.12236333
1336386866.56,203,1336386866.56,,432,402,0.139377219
1336386866.66,204,1336386866.66,,434,396,0.127119939
1336386866.76,205,1336386866.76,,439,393,0.138150666
1336386866.95,206,1336386866.95,,441,401,0.140832717
1336386867.05,207,1336386867.05,,441,398,0.135877681
1336386867.25,208,1336386867.25,,441,389,0.133438133
1336386867.35,209,1336386867.35,,442,379,0.136565061
1336386867.45,210,1336386867.45,,445,395,0.131412451
1336386867.65,211,1336386867.65,,443,398,0.13365652
1336386867.75,212,1336386867.75,,442,393,0.13512186
1336386867.85,213,1336386867.85,,439,398,0.137246015
1336386868.05,214,1336386868.05,,444,388,0.136329139
1336386868.14,215,1336386868.14,,437,393,0.130789745
1336386868.34,216,1336386868.34,,441,403,0.137245733
1336386868.44,217,1336386868.44,,438,388,0.130737783
1336386868.54,218,1336386868.54,,446,392,0.136494874
1336386868.74,219,1336386868.74,,448,408,0.142960777
1336386868.84,220,1336386868.84,,453,412,0.142376833
1336386869.04,221,1336386869.04,,453,410,0.142560589
1336386869.14,222,1336386869.14,,453,403,0.131644116
1336386869.24,223,1336386869.24,,456,405,0.149608898
1336386869.43,224,1336386869.43,,463,424,0.144977167
1336386869.53,225,1336386869.53,,468,433,0.137781836
1336386869.73,226,1336386869.73,,466,418,0.141316362
1336386869.83,227,1336386869.83,,479,430,0.139533526
1336386870.03,228,1336386870.03,,468,422,0.138046955
1336386870.13,229,1336386870.13,,471,424,0.147836465
1336386870.33,230,1336386870.33,,470,437,0.138614904
1336386870.43,231,1336386870.43,,464,409,0.150898309
1336386870.63,232,1336386870.63,,463,412,0.138341266
1336386870.72,233,1336386870.72,,471,430,0.139076551
1336386870.92,234,1336386870.92,,454,418,0.150478352
1336386871.02,235,1336386871.02,,459,428,0.1470481
1336386871.22,236,1336386871.22,,453,417,0.146444183
1336386871.32,237,1336386871.32,,451,429,0.151861486
1336386871.52,238,1336386871.52,,460,427,0.146498102
1336386871.62,239,1336386871.62,,453,409,0.140668516
1336386871.82,240,1336386871.82,,453,413,0.137805998
1336386871.92,241,1336386871.92,,453,414,0.149164221
1336386872.11,242,1336386872.11,,455,419,0.138755286
1336386872.21,243,1336386872.21,,459,422,0.131267181
1336386872.31,244,1336386872.31,,461,431,0.14086966
1336386872.51,245,1336386872.51,,457,420,0.137347077
1336386872.61,246,1336386872.61,,464,433,0.146502636
1336386872.81,247,1336386872.81,,473,449,0.140823425
1336386872.91,248,1336386872.91,,470,441,0.150764144
1336386873.11,249,1336386873.11,,469,435,0.140187726
1336386873.21,250,1336386873.21,,462,428,0.148894773
1336386873.4,251,1336386873.4,,463,428,0.146616901
1336386873.5,252,1336386873.5,,467,441,0.129412548
1336386873.6,253,1336386873.6,,462,430,0.159378575
1336386873.8,254,1336386873.8,,463,440,0.146366376
1336386874.0,255,1336386874.0,,465,425,0.140873709
1336386874.1,256,1336386874.1,,473,437,0.147750421
1336386874.3,257,1336386874.3,,466,442,0.149010494
1336386874.4,258,1336386874.4,,466,427,0.15537234
1336386874.6,259,1336386874.6,,457,418,0.14708596
1336386874.69,260,1336386874.69,,450,420,0.136195178
1336386874.89,261,1336386874.89,,452,431,0.140294099
1336386874.99,262,1336386874.99,,449,421,0.146076951
1336386875.19,263,1336386875.19,,452,416,0.141535671
1336386875.29,264,1336386875.29,,457,419,0.133482544
1336386875.49,265,1336386875.49,,441,408,0.141169489
1336386875.59,266,1336386875.59,,447,429,0.134767276
1336386875.69,267,1336386875.69,,455,431,0.143989543
1336386875.89,268,1336386875.89,,456,420,0.136250634
1336386875.98,269,1336386875.98,,455,425,0.130797919
1336386876.18,270,1336386876.18,,467,446,0.148028597
1336386876.28,271,1336386876.28,,460,422,0.140887333
1336386876.48,272,1336386876.48,,472,454,0.147802032
1336386876.58,273,1336386876.58,,474,442,0.140267213
1336386876.78,274,1336386876.78,,479,453,0.148312296
1336386876.88,275,1336386876.88,,472,437,0.143785952
1336386877.08,276,1336386877.08,,472,444,0.157012355
1336386877.18,277,1336386877.18,,470,436,0.149170229
1336386877.37,278,1336386877.37,,465,434,0.141683726
1336386877.47,279,1336386877.47,,476,445,0.130945496
1336386877.57,280,1336386877.57,,465,431,0.148614356
1336386877.77,281,1336386877.77,,464,449,0.140818884
1336386877.87,282,1336386877.87,,463,433,0.156627461
1336386878.07,283,1336386878.07,,452,418,0.131803914
1336386878.17,284,1336386878.17,,451,415,0.149960202
1336386878.37,285,1336386878.37,,439,409,0.145191227
1336386878.47,286,1336386878.47,,443,416,0.101999913
1336386878.56,287,1336386878.56,,447,417,0.185479312
1336386878.76,288,1336386878.76,,435,413,0.139593663
1336386878.96,289,1336386878.96,,437,407,0.140890329
1336386879.06,290,1336386879.06,,437,410,0.13625469
1336386879.26,291,1336386879.26,,432,409,0.148873473
1336386879.36,292,1336386879.36,,436,415,0.149098497
1336386879.56,293,1336386879.56,,439,414,0.070438566
1336386879.66,294,1336386879.66,,445,410,0.15610616
1336386879.85,295,1336386879.85,,443,419,0.137379625
1336386879.95,296,1336386879.95,,446,417,0.158181498
1336386880.15,297,1336386880.15,,457,430,0.141629323
1336386880.25,298,1336386880.25,,453,436,0.149331698
1336386880.45,299,1336386880.45,,460,428,0.143180635
