#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy od_failure ts
0.000000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.011536 -0.002404 -0.002191 0.000300 0.001401 -0.011242 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.009386 0.000673 -0.002889 0.002076 0.000415 -0.010847 0.000000000 1336386844.327849865 
4.366425037 -0.050372 -0.010499 -0.009566 0.001310 0.006115 -0.049088 -0.002904 0.003221 0.037660 0.011797 -0.005887 -0.006542 -0.040984 0.002937 -0.012617 0.009066 0.001812 -0.047363 -0.009447 -0.007270 0.039627 0.006199 -0.002634 -0.006792 0.000000000 1336386848.694274902 
7.641245127 -0.058607 0.000304 0.113833 0.039812 -0.013138 -0.070535 0.013252 0.003044 0.144104 -0.024860 0.001424 0.001197 -0.072836 -0.020566 0.116991 0.029324 -0.006612 -0.069683 0.005628 0.000980 0.142014 -0.024973 0.005949 0.000618 0.000000000 1336386851.969094992 
8.931324959 -0.044236 -0.004195 0.299956 0.007720 -0.011364 -0.068919 -0.001989 -0.002258 0.127211 0.017611 0.003782 0.001154 -0.067087 -0.025085 0.300203 -0.002899 0.001037 -0.068662 -0.002166 -0.022622 0.131891 0.003857 0.003635 0.000470 0.000000000 1336386853.259174824 
10.717590094 -0.050753 -0.009547 0.527095 0.039155 -0.004626 -0.066806 0.001306 -0.008756 0.007201 -0.005471 0.003223 0.005210 -0.073430 -0.064467 0.535915 0.003991 0.007532 -0.067841 0.003670 -0.013708 0.007554 -0.007772 0.001608 0.005585 0.000000000 1336386855.045439959 
13.396986961 -0.048961 -0.033919 0.545471 0.024426 0.003458 -0.052519 0.000294 0.007295 -0.011627 -0.012925 -0.002313 -0.019717 -0.065964 -0.101869 0.555933 -0.016722 0.011778 -0.052857 -0.011609 -0.001741 -0.012901 -0.018428 0.005564 -0.020771 0.000000000 1336386857.724836826 
15.679437160 -0.047473 -0.016680 0.519346 -0.005256 -0.000724 -0.097636 -0.056823 0.002733 -0.018353 0.015105 0.002565 -0.077808 -0.093004 -0.104911 0.526871 -0.059326 0.023670 -0.100482 -0.055940 -0.004941 -0.018014 0.010831 0.000980 -0.078072 0.000000000 1336386860.007287025 
17.961886168 -0.175935 0.001948 0.477331 0.029431 0.004212 -0.275256 -0.122746 0.000178 -0.013049 0.015937 0.013160 -0.178182 -0.222329 -0.105637 0.489528 -0.037857 0.015019 -0.278516 -0.110381 -0.003376 -0.014899 0.017426 0.005115 -0.176479 0.000000000 1336386862.289736032 
19.450440168 -0.351621 0.052435 0.458692 0.051033 0.031362 -0.539855 -0.107391 0.033428 -0.033817 0.021081 0.007333 -0.179315 -0.382216 -0.066014 0.470027 -0.014519 0.012284 -0.541332 -0.112931 0.014436 -0.032473 0.009496 0.006057 -0.180505 0.000000000 1336386863.778290033 
21.534415960 -0.507688 0.231253 0.398915 0.080033 0.063096 -0.912929 -0.054637 0.029217 -0.033444 0.018169 0.007814 -0.116421 -0.569620 0.080615 0.404820 0.001769 0.018712 -0.917694 -0.055424 0.010121 -0.033597 0.007791 0.004031 -0.117335 0.000000000 1336386865.862265825 
24.610761166 -0.536527 0.428560 0.314332 0.108870 0.111138 -1.270027 -0.025646 -0.015337 -0.008699 0.011639 -0.006785 -0.045129 -0.649509 0.236570 0.304729 0.019013 0.030531 -1.278780 -0.030765 -0.027384 -0.009576 0.004731 -0.005252 -0.045264 0.000000000 1336386868.938611031 
29.274897099 -0.637032 0.527436 0.279789 0.137222 0.099866 -1.483740 0.009004 -0.033548 -0.004341 0.001222 0.005596 -0.005065 -0.812691 0.338783 0.262045 0.034250 0.009341 -1.490281 0.004783 -0.043640 -0.004662 -0.004007 0.007988 -0.005461 0.000000000 1336386873.602746964 
34.832165956 -0.813826 0.466971 0.225648 0.141666 0.134492 -1.507568 -0.042697 -0.171220 -0.006601 -0.007006 -0.016416 -0.039986 -1.051286 0.293185 0.227603 0.011732 0.054741 -1.519103 -0.045656 -0.179843 -0.005933 -0.010490 -0.014880 -0.040091 0.000000000 1336386879.160015821 
36.419957161 -1.085608 0.523631 0.186417 0.121298 0.117347 -1.574549 -0.036686 -0.195143 -0.018886 0.001022 0.016489 -0.064076 -1.340104 0.351421 0.218818 -0.008441 0.031751 -1.583048 -0.039355 -0.205192 -0.018218 -0.002953 0.017758 -0.063591 0.000000000 1336386880.747807026 
37.710036993 -1.332358 0.577958 0.137687 0.112859 0.148081 -1.654883 -0.014886 -0.171069 -0.025427 0.001718 -0.006212 -0.017323 -1.604357 0.406084 0.199174 -0.014835 0.053860 -1.665374 -0.017426 -0.174875 -0.024097 0.001009 -0.004917 -0.016232 0.000000000 1336386882.037886858 
39.198592186 -1.577580 0.630435 0.075395 0.111408 0.141744 -1.681816 -0.036972 -0.205820 -0.011457 -0.005398 0.006515 -0.053202 -1.861397 0.458216 0.168613 -0.014626 0.046168 -1.689449 -0.045346 -0.213377 -0.011333 -0.008240 0.010659 -0.052740 0.000000000 1336386883.526442051 
40.488672018 -1.832277 0.712624 0.038367 0.094579 0.157398 -1.749929 -0.005690 -0.189006 -0.019687 0.005914 -0.002252 -0.003930 -2.127942 0.549336 0.160731 -0.028376 0.058815 -1.757795 -0.010526 -0.190631 -0.018459 0.006610 0.000249 -0.003100 0.000000000 1336386884.816521883 
41.877989054 -2.084124 0.774450 -0.011779 0.101885 0.154796 -1.755730 0.038786 -0.142046 -0.005145 -0.016029 0.000132 0.048797 -2.385870 0.614080 0.143501 -0.019446 0.059038 -1.762117 0.032864 -0.147012 -0.004281 -0.017438 0.003438 0.048690 0.000000000 1336386886.205838919 
43.763489962 -2.357291 0.757828 -0.059505 0.085482 0.145046 -1.663201 -0.014552 -0.237140 0.001553 0.000468 0.008280 -0.013534 -2.669839 0.606235 0.137170 -0.046831 0.067054 -1.670250 -0.019571 -0.243235 0.003204 -0.001366 0.010823 -0.013406 0.000000000 1336386888.091339827 
44.954334021 -2.635734 0.804083 -0.079034 0.083807 0.156230 -1.678604 0.023224 -0.169110 0.001789 -0.017143 -0.008912 0.031074 -2.955375 0.656926 0.156064 -0.049568 0.079173 -1.686851 0.021236 -0.178271 0.001995 -0.020904 -0.007635 0.030837 0.000000000 1336386889.282183886 
46.542124987 -2.905577 0.799723 -0.104179 0.064035 0.137820 -1.630169 0.011883 -0.179870 -0.005055 0.005011 0.017542 -0.006617 -3.240077 0.654907 0.170531 -0.078779 0.069393 -1.637231 0.009572 -0.185330 -0.003871 0.003100 0.018721 -0.006714 0.000000000 1336386890.869974852 
48.030678034 -3.172661 0.801439 -0.131018 0.070377 0.164505 -1.638437 -0.057633 -0.119635 -0.022128 0.011842 -0.004208 -0.082435 -3.515958 0.657908 0.185471 -0.075036 0.096382 -1.649440 -0.058364 -0.129555 -0.020245 0.007076 -0.004344 -0.081788 0.000000000 1336386892.358527899 
49.519232988 -3.341363 0.905142 -0.161735 0.067128 0.165612 -1.762995 -0.221392 0.017704 0.003178 0.009411 0.012241 -0.341386 -3.703011 0.760898 0.178310 -0.075602 0.080124 -1.770741 -0.212389 0.006542 0.003258 0.006609 0.005569 -0.339200 0.000000000 1336386893.847082853 
50.710076094 -3.271457 1.155580 -0.113153 0.006702 0.193105 -2.175574 0.006311 -0.028363 0.014163 0.021362 0.005637 -0.099181 -3.645089 1.006127 0.201822 -0.093118 0.050618 -2.174537 -0.001660 -0.032459 0.011664 0.018336 0.009568 -0.097916 0.000000000 1336386895.037925959 
53.687184095 -3.356172 1.182014 -0.075933 0.012980 0.203358 -2.477082 0.103134 0.009042 0.177479 -0.010136 -0.007260 -0.032660 -3.720086 1.061166 0.245578 -0.049216 0.050106 -2.467766 0.089340 0.014065 0.169781 -0.006804 0.003270 -0.030832 0.000000000 1336386898.015033960 
54.977264166 -3.489817 1.066280 0.121570 -0.008801 0.194355 -2.520143 0.087083 -0.008508 0.131732 -0.018489 -0.006293 0.026771 -3.800533 0.959949 0.457405 -0.059957 0.052322 -2.507756 0.075268 0.003085 0.120242 -0.009168 0.004209 0.029328 0.000000000 1336386899.305114031 
56.366582155 -3.621028 0.984876 0.277871 -0.027160 0.185803 -2.482222 -0.053902 -0.009959 0.001695 0.049019 0.013038 -0.129399 -3.883231 0.881432 0.618205 -0.070535 0.060558 -2.467361 -0.079353 -0.016727 -0.006218 0.040695 0.029483 -0.131894 0.000000000 1336386900.694432020 
58.748268127 -3.536449 1.080294 0.306187 0.033531 0.199681 -2.797499 -0.143067 0.082893 -0.028235 -0.024029 -0.018688 -0.183177 -3.760758 1.031515 0.617700 0.010730 0.105790 -2.786935 -0.110118 0.064811 -0.008606 -0.028932 -0.049574 -0.185178 0.000000000 1336386903.076117992 
60.038347960 -3.323557 1.041753 0.310629 -0.045727 0.177800 -3.038307 0.092247 -0.045359 0.030677 0.029108 -0.053669 -0.031496 -3.598197 1.002431 0.622553 -0.051957 0.041366 -3.026232 0.040402 -0.025276 -0.000117 0.042070 -0.011052 -0.029101 0.000000000 1336386904.366197824 
61.626140118 -3.483276 1.095289 0.335854 -0.007803 0.090202 -3.084375 0.085969 -0.004853 -0.004605 -0.012599 0.013375 0.009974 -3.666558 1.034867 0.621797 0.013016 0.021400 -3.071467 0.056281 -0.066193 -0.005514 -0.048118 0.033241 -0.007619 0.000000000 1336386905.953989983 
63.213932037 -3.618791 1.095302 0.316336 -0.026388 0.111550 -3.068611 -0.182239 -0.194380 -0.052774 0.009438 -0.006274 -0.007365 -3.762820 1.133341 0.609764 -0.063613 0.074332 -3.082891 -0.061855 -0.160746 0.001519 0.024777 -0.098146 0.009278 0.000000000 1336386907.541781902 
64.206300020 -3.448460 1.302485 0.289499 -0.017821 0.105131 -3.075792 -0.080186 -0.013159 0.013301 -0.009655 0.046550 -0.006604 -3.711909 1.295708 0.625935 -0.038177 -0.022291 -3.067559 -0.059696 -0.027070 0.025554 -0.018338 0.028970 -0.009266 0.000000000 1336386908.534149885 
66.488749027 -3.272016 1.343664 0.339422 -0.041779 0.211077 -3.093052 -0.141774 -0.124642 0.024065 0.031898 -0.031126 -0.019411 -3.579118 1.365235 0.683524 -0.079578 0.042982 -3.091191 -0.137355 -0.141478 0.027989 0.020410 -0.036046 -0.020214 0.000000000 1336386910.816598892 
67.778829098 -3.109015 1.511131 0.414640 -0.005612 0.169853 -3.116715 -0.022536 -0.130439 -0.009995 -0.008885 0.015980 -0.023283 -3.413496 1.552887 0.741595 -0.054271 -0.005456 -3.113462 -0.028715 -0.142949 -0.010768 -0.017742 0.020375 -0.024394 0.000000000 1336386912.106678963 
69.763568163 -3.068280 1.771219 0.404080 -0.031243 0.201125 3.119150 -0.050641 -0.074466 -0.012009 -0.002547 -0.002010 -0.027820 -3.364560 1.838835 0.735334 -0.089184 0.032305 3.119196 -0.046784 -0.083351 -0.009744 -0.007884 -0.005730 -0.028011 0.000000000 1336386914.091418028 
72.046018124 -2.946810 1.939274 0.405528 -0.049879 0.194148 3.054613 -0.116911 -0.042398 0.004334 0.017245 0.013111 -0.131650 -3.253404 2.027862 0.733577 -0.109030 0.013525 3.056684 -0.118047 -0.052820 0.005870 0.010618 0.011407 -0.131924 0.000000000 1336386916.373867989 
74.229230165 -2.692024 2.009384 0.468573 -0.066221 0.200467 2.760125 -0.223121 -0.029476 -0.036878 0.019671 0.001091 -0.316272 -2.987371 2.118866 0.762347 -0.085197 0.006818 2.767683 -0.227054 -0.039462 -0.037059 0.013003 0.000759 -0.316002 0.000000000 1336386918.557080030 
75.519309998 -2.406615 1.939175 0.481836 -0.115394 0.159097 2.347433 -0.104941 -0.156828 -0.065300 0.056707 0.005855 -0.161953 -2.694411 2.062776 0.721042 -0.064164 -0.026505 2.361340 -0.103595 -0.156177 -0.066607 0.059289 0.005177 -0.160821 0.000000000 1336386919.847159863 
76.809391022 -2.155951 1.984665 0.443659 -0.072842 0.139256 2.136960 -0.088973 -0.061631 -0.045280 0.001742 0.003890 -0.130215 -2.455511 2.116974 0.644692 0.019162 -0.032479 2.153756 -0.092093 -0.068700 -0.045551 -0.002354 0.004488 -0.130068 0.000000000 1336386921.137240887 
78.992604017 -1.926826 1.887755 0.382681 -0.105330 0.121703 1.850638 -0.052628 -0.021016 -0.017479 0.009367 0.011648 -0.129231 -2.223116 2.033488 0.535915 0.022350 -0.016016 1.870016 -0.057705 -0.029525 -0.017902 0.003695 0.012761 -0.129752 0.000000000 1336386923.320453882 
81.771113157 -1.824604 1.760785 0.358588 -0.115652 0.109107 1.487955 0.060126 -0.025389 0.001906 -0.006341 -0.003812 0.016405 -2.098793 1.904936 0.481793 0.036838 0.028342 1.510527 0.062649 -0.034378 0.002917 -0.011416 -0.005013 0.016289 0.000000000 1336386926.098963022 
