#     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26
#     t  gt_x  gt_y  gt_z  gt_ro gt_pi gt_ya gt_vx gt_vy gt_vz gt_vr gt_vp gt_vy od_x  od_y  od_z  od_ro od_pi od_ya od_vx od_vy od_vz od_vr od_vp od_vy od_failure ts
0.000000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.155841 -0.031011 0.077486 -0.001478 -0.039618 0.216599 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.151238 -0.003510 0.098880 -0.028654 0.003577 0.212229 0.000000000 1319017534.952914000 
2.183206081 0.340234 -0.067704 0.169168 -0.003226 -0.086494 0.472881 0.155684 -0.017079 0.012005 0.012058 -0.003806 0.215240 0.330184 -0.007662 0.215876 -0.062558 0.007809 0.463339 0.162670 -0.010196 0.012095 -0.000482 -0.018827 0.214730 0.000000000 1319017537.136120081 
4.664031982 0.699742 0.068733 0.232341 -0.016994 -0.082219 1.008865 0.173741 0.013943 -0.002084 0.010644 -0.003992 0.223775 0.701844 0.151902 0.244251 -0.051105 -0.008162 0.997661 0.169664 0.011461 -0.022548 -0.000973 -0.009593 0.217253 0.000000000 1319017539.616945982 
6.847239017 0.875697 0.405161 0.258443 -0.030432 -0.073319 1.498915 0.161670 0.033680 0.037349 -0.002979 -0.012026 0.220278 0.884040 0.475647 0.196835 -0.051314 -0.004848 1.472395 0.172537 0.024931 0.009367 -0.018100 0.001311 0.217733 0.000000000 1319017541.800153017 
9.030446053 0.824781 0.755929 0.363352 -0.067513 -0.077135 1.981867 0.059219 -0.017743 0.024029 0.001372 -0.001668 0.048471 0.865899 0.855864 0.216292 -0.087369 0.022023 1.947031 0.064732 -0.018567 0.015732 0.000331 -0.003666 0.047629 0.000000000 1319017543.983360052 
13.297487020 0.790322 1.006712 0.489910 -0.076081 -0.068737 2.189198 0.015000 -0.123952 0.017653 0.007554 -0.010630 -0.003173 0.831794 1.141054 0.283979 -0.079697 0.023593 2.150907 0.009186 -0.124187 -0.002096 -0.005550 -0.003293 -0.006478 0.000000000 1319017548.250401020 
16.373800993 1.073380 1.257599 0.576014 -0.052380 -0.102082 2.181919 0.010783 -0.137178 0.010498 0.008161 -0.017131 -0.004479 1.134951 1.374174 0.307294 -0.097209 0.011904 2.131848 -0.003712 -0.122386 -0.019005 -0.000254 0.002040 -0.008149 0.000000000 1319017551.326714993 
19.053247929 1.359072 1.486957 0.626046 -0.029579 -0.148545 2.172242 -0.003248 -0.109928 0.017706 0.002955 -0.000959 -0.009829 1.420891 1.541851 0.288559 -0.098133 0.015221 2.109585 -0.008607 -0.116077 -0.005690 -0.003356 -0.000532 -0.012887 0.000000000 1319017554.006161928 
21.831816912 1.619529 1.644425 0.682277 -0.017281 -0.151959 2.144704 -0.000926 -0.110648 0.024380 0.001444 0.005980 -0.015214 1.709870 1.687021 0.304786 -0.107937 0.010234 2.074094 -0.008955 -0.120999 -0.003971 -0.000752 0.003933 -0.015577 0.000000000 1319017556.784730911 
24.610388994 1.884079 1.799260 0.754089 -0.006757 -0.135939 2.101760 -0.032925 -0.105530 0.012026 -0.003576 0.007668 -0.049296 2.015586 1.827239 0.330289 -0.110380 0.016426 2.029881 -0.029102 -0.114333 -0.006546 -0.000038 -0.000892 -0.047897 0.000000000 1319017559.563302994 
26.892842054 2.131317 1.853526 0.772712 0.000462 -0.118331 1.988348 -0.141711 0.038670 -0.039646 -0.001677 -0.016852 -0.225384 2.278906 1.883570 0.345275 -0.111594 0.002287 1.921452 -0.144410 0.046182 -0.009913 -0.015088 0.003830 -0.224471 0.000000000 1319017561.845756054 
29.671410084 2.186343 1.464408 0.616890 0.065673 -0.142237 1.355483 -0.142338 0.007979 -0.069943 -0.034404 0.022981 -0.220500 2.299893 1.463894 0.304529 -0.133909 -0.052630 1.299804 -0.140702 0.009263 -0.043684 0.022866 0.026963 -0.215512 0.000000000 1319017564.624324083 
31.854617119 2.098429 1.190694 0.423138 0.048549 -0.045926 0.879028 -0.107499 0.044474 -0.026803 0.005320 -0.008672 -0.124561 2.212104 1.175217 0.191287 -0.045325 -0.048940 0.825293 -0.113822 0.037846 -0.011011 -0.013135 -0.003173 -0.124508 0.000000000 1319017566.807531118 
34.533940077 1.822481 1.049592 0.344039 0.075213 -0.050693 0.544152 -0.031912 -0.090013 -0.011870 -0.002335 -0.002996 -0.010310 1.933165 1.020447 0.142342 -0.062003 -0.069580 0.491633 -0.033794 -0.075594 -0.001055 0.006497 0.003273 -0.010193 0.000000000 1319017569.486854076 
38.801103115 1.905878 0.656831 0.257871 0.067455 -0.060083 0.499244 -0.030113 -0.122119 -0.003953 -0.007695 -0.006436 0.001894 1.957511 0.667961 0.147772 -0.031142 -0.058265 0.447283 -0.018084 -0.123524 0.011577 -0.008087 0.000076 -0.000491 0.000000000 1319017573.754017115 
